,TP53,KRAS,EGFR,STK11,RBM10,KEAP1,ATM,SMARCA4,PTPRD,NF1,PIK3CA,BRAF
1993,1,1,0,0,0,0,0,0,0,0,0,0
2994,0,1,0,0,0,0,0,0,0,0,0,0
610,1,0,0,0,0,1,0,0,1,1,0,0
1355,0,1,0,0,0,0,1,0,0,0,0,0
3510,0,0,1,0,0,0,0,0,0,0,0,0
769,0,1,0,0,0,0,0,0,0,0,0,0
1875,1,0,0,0,1,0,0,0,0,0,0,0
2056,0,0,0,0,0,0,0,0,0,0,0,0
171,0,1,0,0,0,0,1,0,0,0,0,0
2861,0,1,0,1,1,0,0,1,0,0,0,0
2955,0,0,1,0,0,0,0,0,0,0,0,0
1931,0,1,0,0,0,0,0,0,1,0,0,0
2532,1,0,0,0,0,0,0,1,0,1,1,0
2634,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0
491,0,0,0,0,0,0,0,0,0,0,0,0
520,1,1,0,1,0,0,0,0,0,0,0,0
213,1,1,0,0,0,0,0,0,0,0,1,0
2798,1,0,1,0,0,0,0,0,0,0,0,0
313,0,1,0,1,0,1,0,1,0,1,0,0
2657,0,1,0,0,0,0,0,0,0,0,0,0
1362,0,1,0,0,0,0,0,0,0,0,0,0
767,0,0,0,1,0,1,0,0,0,0,0,0
627,0,1,0,0,0,0,0,0,0,0,0,0
404,0,1,0,1,0,0,0,0,0,0,0,0
505,0,0,0,0,0,0,0,0,0,0,0,0
2144,0,1,0,0,0,0,0,0,0,0,0,0
2610,0,0,0,0,0,0,0,0,0,0,0,0
2513,0,0,1,0,0,0,0,0,0,0,1,0
2528,1,1,0,0,1,0,0,0,0,0,0,0
1499,0,0,0,0,0,0,0,0,0,0,0,0
1121,1,0,1,0,0,0,0,1,0,0,0,0
1236,1,1,0,0,0,0,0,0,0,0,0,0
1827,1,1,0,0,0,0,0,0,0,0,0,0
519,0,0,1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0
2957,0,1,0,0,0,0,0,0,0,0,0,0
3465,1,1,0,1,0,0,0,0,0,0,0,0
1442,1,0,0,1,0,0,0,0,0,0,0,0
2296,1,0,1,0,0,0,0,0,0,0,0,0
2715,0,0,1,0,0,0,0,1,0,0,1,0
3327,1,0,0,0,0,1,0,0,0,0,0,0
595,0,0,1,0,0,0,0,0,0,0,0,0
2317,0,0,1,0,0,0,0,0,0,0,0,0
968,1,0,1,0,0,0,0,0,0,0,0,0
1127,0,0,0,1,0,0,0,0,0,0,0,0
1421,0,0,0,1,0,1,0,0,0,0,0,0
677,1,0,0,0,0,0,0,0,0,0,0,0
1115,0,1,0,0,0,1,0,0,0,0,1,0
1042,0,0,1,0,0,0,0,0,0,0,0,0
2717,0,0,1,0,0,0,0,0,0,0,0,0
2328,0,0,0,0,0,0,0,0,0,0,0,1
1867,0,0,0,0,1,0,0,0,0,0,0,0
1146,0,1,0,0,0,0,0,0,0,0,0,0
3357,1,0,1,0,0,0,0,0,0,0,0,0
2525,1,0,1,0,0,0,0,0,0,0,0,0
2652,0,1,0,0,0,1,0,0,0,0,0,0
1883,1,1,0,0,0,0,0,0,0,0,0,1
1081,0,1,0,0,1,0,0,0,0,0,0,0
3410,1,0,0,0,0,0,0,0,0,0,0,0
1149,1,0,1,0,0,0,0,0,0,0,0,0
1387,0,0,0,1,0,0,0,0,0,0,0,0
2028,0,0,0,0,0,0,0,0,0,0,0,0
2362,0,0,1,0,0,0,0,0,0,0,0,0
1902,0,1,0,1,1,0,0,0,0,0,0,0
2095,0,0,0,0,0,0,0,0,0,0,0,0
324,0,1,0,0,0,0,0,0,0,0,0,0
1739,1,0,0,0,0,0,0,0,0,0,0,0
1300,0,0,1,0,0,0,0,0,0,0,1,0
1470,1,0,1,0,0,0,0,0,0,0,0,0
1301,0,1,0,0,0,0,0,0,0,0,0,0
1744,1,0,1,0,0,0,0,0,0,0,0,0
3205,0,1,0,0,0,0,0,0,0,0,0,0
1538,1,0,0,1,0,1,0,0,0,0,0,0
2260,1,0,0,0,0,0,0,0,0,0,0,0
1622,0,0,1,0,0,0,0,0,0,0,0,0
1920,0,0,1,0,0,0,0,0,0,0,0,0
1888,0,0,0,0,0,0,0,0,0,0,0,0
2611,0,1,0,0,0,0,0,0,0,0,0,0
1231,0,0,0,0,0,0,0,0,0,0,0,0
